"SitID","DEPT","DPHI","GR","ILD","NPHI","HorID"
109946,468,0.142,86.527,8.825,0.296,9000
109946,468,0.142,86.527,8.825,0.296,9500
109946,474.5,0.202,94.994,9.63,0.347,10000
109946,474.5,0.202,94.994,9.63,0.347,11000
109946,474.5,0.202,94.994,9.63,0.347,12000
109946,474.5,0.202,94.994,9.63,0.347,13000
102609,342.5,0.193,84.138,3.631,0.453,1000
102609,460,0.326,80.526,6.895,0.532,5000
102609,480,0.326,77.698,2.102,0.58,7000
102609,487,0.274,83.543,2.33,0.532,9000
102609,487,0.274,83.543,2.33,0.532,9500
102609,490,0.266,86.954,2.687,0.555,10000
102609,493,0.234,73.353,6.058,0.396,11000
102609,493,0.234,73.353,6.058,0.396,12000
102609,493,0.234,73.353,6.058,0.396,13000
102609,543,0.181,103.112,4.921,0.418,14000
108122,282,0.276,86.118,3.661,0.453,1000
108122,419.5,0.411,84.389,5.326,0.463,5000
108122,437,0.335,87.523,4.169,0.482,7000
108122,444,0.332,88.412,3.78,0.473,9000
108122,444,0.332,88.412,3.78,0.473,9500
108122,446.5,0.416,89.728,5.422,0.484,10000
108122,455,0.184,65.782,29.196,0.329,11000
108122,455,0.184,65.782,29.196,0.329,12000
108122,455,0.184,65.782,29.196,0.329,13000
108122,479,0.227,43.67,18.848,0.334,14000
112350,280.5,0.341,44.454,16.512,0.304,1000
112350,429,0.237,86.107,4.617,0.411,5000
112350,439.5,0.302,81.724,2.241,0.582,7000
112350,445,0.249,99.28,3.229,0.534,9000
112350,445,0.249,99.28,3.229,0.534,9500
112350,448,0.237,115.081,4.478,0.501,10000
112350,450,0.265,80.558,13.029,0.374,11000
112350,450,0.265,80.558,13.029,0.374,12000
112350,450,0.265,80.558,13.029,0.374,13000
112350,500,0.173,87.453,12.173,0.359,14000
142715,170.5,0.138,64.729,7.509,0.466,1000
142715,302,0.329,101.743,4.42,0.455,5000
142715,316,0.35,92.095,2.571,0.584,7000
142715,320,0.265,100.42,3.782,0.473,9000
142715,320,0.265,100.42,3.782,0.473,9500
142715,323,0.272,93.726,3.999,0.466,10000
142715,329,0.309,76.045,9.754,0.384,11000
142715,329,0.309,76.045,9.754,0.384,12000
142715,329,0.309,76.045,9.754,0.384,13000
117821,158,0.266,80.319,9.828,0.428,2000
117821,184.5,0.291,75.729,16.444,0.364,3000
